model_number,star_age,star_mass,log_L,log_R,log_Teff,log_center_Rho,log_center_P,center_h1,center_he3,center_he4,star_mdot
977,12285859812.80596,0.9983507155738515,1.4615232325050294,0.9425028918777726,3.655758780413684,5.249781434631825,21.254231724731515,9.63301044507679e-41,0.0,0.9800605430001028,-1.007207317872293e-11
978,12286070262.672907,0.9983485778498287,1.4630736252640995,0.9434285921519676,3.6556835284663545,5.250272202465583,21.255011588030637,8.277764633781749e-41,0.0,0.9800605427289047,-1.0157877758528822e-11
979,12286260449.403103,0.998346634906126,1.46420791808451,0.9441033464549844,3.6556297245199483,5.250721742239293,21.255726092474944,0.0,0.0,0.9800605424834281,-1.0215979320096558e-11
980,12286440726.608488,0.9983447855067166,1.4653027053961882,0.9447557100614137,3.6555772395446535,5.251147829433324,21.256403238705897,5.4610201957059495e-40,0.0,0.9800605422503967,-1.0258642546298062e-11
981,12286615800.123991,0.9983429822468988,1.4663254242985426,0.9453650215215086,3.6555282635401944,5.251564402147338,21.25706530104696,0.0,0.0,0.9800605420237674,-1.0300014898425416e-11
982,12286787480.271143,0.9983412072780129,1.467351709047045,0.9461500603025526,3.655392315336798,5.251972354656792,21.257713567535557,0.0,0.0,0.9800605418012222,-1.0338812701552526e-11
983,12286957937.13386,0.9983394375877787,1.4684050689051498,0.9467742319897805,3.65534356945771,5.252379101208522,21.258359914417987,2.354090487254899e-40,0.0,0.9800605415799675,-1.0382041567408908e-11
984,12287127648.830137,0.9983376688117698,1.4695343827762009,0.9474452087453197,3.6552904095477037,5.252784616251274,21.25900425467323,0.0,0.0,0.9800605413593831,-1.042223988038414e-11
985,12287331302.865671,0.9983355374599449,1.471223105802064,0.9484542915384371,3.6552080489076104,5.253261991418779,21.259762296565192,0.0,0.0,0.9800605410943323,-1.046555163657637e-11
986,12287575687.708313,0.9983329638950481,1.4734926356232405,0.9497844096574705,3.655110372303388,5.253826656549986,21.260658457390043,0.0,0.0,0.9800605407757733,-1.053078770772194e-11
987,12287777083.668152,0.9983308253796616,1.4749624107024217,0.9506678829278038,3.6550360794380166,5.2543009354902965,21.261411445520157,0.0,0.0,0.9800605405127494,-1.0618462198689536e-11
988,12287958992.591854,0.9983288832876215,1.4760219173476252,0.9513019885962999,3.65498390326507,5.254735853611726,21.262102132791377,0.0,0.0,0.9800605402748046,-1.0676177949709496e-11
989,12288131408.366928,0.9983270353502012,1.4771423744979941,0.9519749286628619,3.654927547519381,5.255147030388361,21.262754998306267,0.0,0.0,0.9800605400489496,-1.0717913831261647e-11
990,12288299106.49911,0.9983252305352179,1.478124771293757,0.9525635914677648,3.65487881531587,5.255550945089548,21.263396429458915,0.0,0.0,0.9800605398289713,-1.0762284347360647e-11
991,12288464368.356968,0.9983234454911682,1.479114333023017,0.9531570245899706,3.6548294891870823,5.255951015370702,21.264031771662744,0.0,5.52634600624982e-44,0.9800605396119026,-1.0801306925179372e-11
992,12288628735.534216,0.9983216636246177,1.4802810335117744,0.9538596637804712,3.6547698447140213,5.256346151588428,21.264659096156894,0.0,0.0,0.9800605393957322,-1.084076870006081e-11
993,12288792504.043037,0.9983198805866633,1.4813861932184644,0.9545244864813285,3.654713723290265,5.2567406819194735,21.265285427154584,0.0,0.0,0.9800605391800622,-1.0887550770143892e-11
994,12288955130.65322,0.9983181027471234,1.4825347999818692,0.9552163461208645,3.6546549451613486,5.257132281278099,21.265907032145577,0.0,0.0,0.9800605389656212,-1.0932033434529684e-11
995,12289150282.585438,0.9983159602756568,1.4841504328165094,0.9561933026505127,3.6545703751051843,5.257594402426892,21.266640158254287,0.0,0.0,0.9800605387079595,-1.097847939425114e-11
996,12289384464.9041,0.9983133739106591,1.486369284030553,0.9575385542755762,3.654452462096163,5.2581416492459585,21.267507882418244,0.0,0.0,0.9800605383982934,-1.1044236868121452e-11
997,12289577395.105589,0.998311225579842,1.4876975560494545,0.9585695822659772,3.654269016105688,5.258603117975344,21.26823996781679,0.0,0.0,0.9800605381427455,-1.1135274833029203e-11
998,12289752039.49239,0.9983092702690076,1.4888365032833184,0.9592468158492078,3.654215136122539,5.259026099461102,21.268911147386504,2.3281519504942787e-40,0.0,0.9800605379110287,-1.1195955794383792e-11
999,12289917705.576042,0.9983074077024021,1.4899092628251613,0.9598852717222114,3.654164098071498,5.259427818914097,21.26954854320854,0.0,0.0,0.980060537690917,-1.1242896340396657e-11
1000,12290078642.122126,0.9983055911626395,1.490753207653866,0.9603864505459229,3.6541244948668186,5.259821695571817,21.270173588412273,0.0,1.2680581447828198e-45,0.9800605374768099,-1.1287304263874131e-11
1001,12290237338.258707,0.9983037943512153,1.491757265392431,0.9609847560951696,3.6540763565268364,5.2602092430402845,21.27078849458149,0.0,0.0,0.9800605372654199,-1.1322338796743167e-11
1002,12290394639.273,0.9983020067492888,1.492797124337228,0.9616055766531659,3.6540259109840374,5.260594667934757,21.27140003003113,0.0,0.0,0.9800605370556177,-1.136421106111903e-11
1003,12290550824.036406,0.9983002250294645,1.4939180671188952,0.9622768310916437,3.6539705194602154,5.2609758923158285,21.272004781690722,0.0,0.0,0.9800605368470474,-1.1407769782492993e-11
1004,12290706613.591137,0.9982984404657568,1.4950773050375492,0.9629724007487289,3.653912544111336,5.26135498059712,21.272606038594333,0.0,0.0,0.9800605366387468,-1.1454963785774347e-11
1005,12290862015.773094,0.9982966527172796,1.4961119726790386,0.9635926892101666,3.6538610667909897,5.26173490687704,21.273208646534616,0.0,2.6800237108154814e-43,0.9800605364307073,-1.1504011427687431e-11
1006,12291048498.39144,0.9982944992246156,1.497712176243697,0.9645584894126641,3.6537782175809057,5.262182465705306,21.27391808987728,0.0,8.452419356285391e-46,0.9800605361807531,-1.154795381494409e-11
1007,12291272277.533455,0.9982918997140717,1.4999634607818682,0.9659239991952563,3.653658283824152,5.262711772843243,21.274756661998232,0.0,0.0,0.9800605358803729,-1.1616411254379888e-11
1008,12291457039.855494,0.9982897354845552,1.5012191912786461,0.9666819035971667,3.653593264247391,5.263162899502423,21.27547193081055,0.0,0.0,0.9800605356319336,-1.1713586907931901e-11
1009,12291624396.406488,0.9982877660244062,1.5022958192352482,0.9673310487865064,3.653537848641872,5.2635735533254575,21.276123056362156,0.0,0.0,0.980060535406571,-1.1768049338206595e-11
1010,12291783184.225304,0.9982858899576255,1.5032249008037821,0.9678927728542144,3.653489257000152,5.263966875392258,21.276746807931183,0.0,0.0,0.9800605351924676,-1.1814928845333948e-11
